,Price,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI,Bollinger_Upper,Bollinger_Lower,10_day_MA,50_day_MA,RSI_SMA_Ratio,Volatility,Close_lag_1,Close_lag_2,Momentum
0,2010-01-04,15.62778091430664,15.69660129259785,15.565195942606344,15.632767719212024,78169752,,15.62778091430664,,,,,,,,,,
1,2010-01-05,15.558961868286133,15.654960715760703,15.497872556465603,15.638503689031095,120067812,,15.621226719447545,,,,,,,,15.62778091430664,,
2,2010-01-06,15.166741371154783,15.605590695948743,15.119365769941686,15.605590695948743,158988852,,15.57794240056252,,,,,,,,15.558961868286133,15.62778091430664,
3,2010-01-07,14.813665390014648,15.210126841385556,14.777511053641978,15.19516547610518,256315428,,15.505154113843675,,,,,,,,15.166741371154783,15.558961868286133,
4,2010-01-08,15.011148452758787,15.041817112938991,14.68924107330327,14.761302684873398,188783028,,15.458105955645115,,,,,,,,14.813665390014648,15.166741371154783,
5,2010-01-11,14.988459587097168,15.071990479168848,14.812171072559794,15.071990479168848,288227484,,15.41337773006912,,,,,,,,15.011148452758787,14.813665390014648,-0.6393213272094727
6,2010-01-12,14.723403930664062,14.914901815493865,14.661565834463689,14.902184891827291,193937868,,15.347665939649591,,,,,,,,14.988459587097168,15.011148452758787,-0.8355579376220703
7,2010-01-13,14.638874053955078,14.6710393255285,14.309986290133423,14.374566743662063,259604136,,15.280161950535827,,,,,,,,14.723403930664062,14.988459587097168,-0.5278673171997053
8,2010-01-14,14.70769500732422,14.816160875423106,14.532155276298612,14.55933374581042,169434396,,15.22564128927758,,,,,,,,14.638874053955078,14.723403930664062,-0.10597038269042791
9,2010-01-15,14.462088584899902,14.80020214989009,14.413215423277016,14.794715523887124,217162620,,15.152921984098754,,,,14.969881916046143,,,,14.70769500732422,14.638874053955078,-0.5490598678588849
10,2010-01-19,14.65208911895752,14.721906288807194,14.369580156612647,14.49200963912036,172495332,,15.105223615990065,,,,14.87231273651123,,,,14.462088584899902,14.70769500732422,-0.33637046813964844
11,2010-01-20,14.47231101989746,14.611196584338169,14.344646717296383,14.611196584338169,129897972,,15.044946225886006,,,,14.763647651672363,,,,14.65208911895752,14.462088584899902,-0.25109291076660334
12,2010-01-21,14.536394119262695,14.63214306259119,14.268845550513367,14.547864341712362,252055692,,14.99651269192188,,,,14.700612926483155,,,,14.47231101989746,14.65208911895752,-0.10247993469238281
13,2010-01-22,13.714299201965332,14.22770259927252,13.336539191700767,14.075602184319235,271743984,,14.874397121449828,17.614840128182863,,,14.590676307678223,,,,14.536394119262695,14.47231101989746,-0.9933958053588885
14,2010-01-25,13.464702606201172,13.711057240740958,13.352745600453568,13.629021065719462,176619204,,14.740140500949956,16.242553916018096,,,14.436031723022461,,,,13.714299201965332,14.536394119262695,-0.9973859786987305
15,2010-01-26,13.525044441223145,13.704075310839697,13.372196199634145,13.41408612392704,174045780,,14.62441706669026,18.174055652801997,,,14.289690208435058,,,,13.464702606201172,13.714299201965332,-1.127044677734375
16,2010-01-27,13.517065048217772,13.655452691633762,13.347758832872666,13.496369046723636,158417424,,14.51895496969288,20.658183410800845,,,14.16905632019043,,,,13.525044441223145,13.464702606201172,-0.9552459716796875
17,2010-01-28,13.32232666015625,13.639246315674598,13.2303178198667,13.57666038746343,129034836,,14.40499036878463,21.89120884651615,,,14.037401580810547,,,,13.517065048217772,13.525044441223145,-1.2140674591064453
18,2010-01-29,13.213860511779783,13.489388156221228,13.10589351638828,13.427052139739576,165454380,,14.291549430022263,14.948486396145796,,,13.888018131256104,,,,13.32232666015625,13.517065048217772,-0.5004386901855487
19,2010-02-01,13.290658950805664,13.36022716491192,13.222837258820473,13.330055472644236,89941968,14.370378541946412,14.19622652723973,17.573114146628058,15.916067568746406,12.824689515146417,13.770875167846679,,1.2228706498811441,0.7728445133999974,13.213860511779783,13.32232666015625,-0.1740436553955078
20,2010-02-02,13.24328327178955,13.339032213008856,13.155762369175484,13.339032213008856,163684152,14.251153659820556,14.105470026720665,19.166855729272555,15.755776414959668,12.746530904681444,13.629994583129882,,1.3449336233957845,0.752311377569556,13.290658950805664,13.213860511779783,-0.28176116943359375
21,2010-02-03,13.485149383544922,13.517065698127464,13.171222953500862,13.182194305417324,119844036,14.147463035583495,14.046391870227737,27.444699084414864,15.555323756688255,12.739602314478736,13.53127841949463,,1.9399025122303803,0.7039303605523795,13.24328327178955,13.290658950805664,-0.031915664672849786
22,2010-02-04,13.1350679397583,13.414833618576225,13.10464728605838,13.389899591179276,134972892,14.045879364013672,13.959599114944933,22.301269356553703,15.437165914069105,12.654592813958239,13.391145801544189,,1.5877446173780192,0.6956432750277171,13.485149383544922,13.24328327178955,-0.18725872039794922
23,2010-02-05,13.247522354125977,13.302628072878589,13.02735033974718,13.175460737224972,126113760,13.967572212219238,13.891782280581223,27.555043292675464,15.353190834374836,12.581953590063641,13.344468116760254,,1.9727868862256184,0.6928093110777989,13.1350679397583,13.485149383544922,0.03366184234619318
24,2010-02-08,13.301878929138184,13.514572630250218,13.253506539113392,13.277692734125788,107664228,13.882108736038209,13.83560100901522,23.73143311766293,15.206195404445607,12.55802206763081,13.328185749053954,,1.7094977116881167,0.6620433342036988,13.247522354125977,13.1350679397583,0.011219978332519531
25,2010-02-09,13.375935554504396,13.502852980834236,13.34177479774508,13.453232937518113,112671216,13.801482534408569,13.791823346680856,27.75473636752406,15.035211460293802,12.567753608523336,13.31327486038208,,2.010996738816177,0.6168644629426162,13.301878929138184,13.247522354125977,0.13265228271484553
26,2010-02-10,13.326316833496094,13.409597815088564,13.15775748748186,13.31684114292822,106873020,13.731628179550171,13.747489393044212,25.302783993323104,14.902157912240682,12.56109844685966,13.294200038909912,,1.842664515997111,0.5852648663452554,13.375935554504396,13.301878929138184,-0.15883255004882812
27,2010-02-11,13.374937057495115,13.476920451431171,13.202888482549278,13.298138549400024,96303600,13.668431329727174,13.712008218230013,39.877948390612914,14.766987411247161,12.569875248207186,13.299461078643798,,2.917521947371037,0.5492780407599941,13.326316833496094,13.375935554504396,0.23986911773681463
28,2010-02-12,13.293152809143066,13.393639599477105,13.227824517554746,13.289413655289977,91096812,13.597704219818116,13.6721172268884,44.3140388553164,14.591700878721651,12.60370756091458,13.307390308380127,,3.2589353422418497,0.4969983294517675,13.374937057495115,13.326316833496094,0.045630455017089844
29,2010-02-16,13.49711799621582,13.567683000171169,13.32257506316162,13.38665760045232,146029824,13.549455690383912,13.65545063349101,49.154851285804746,14.456682615632793,12.64222876513503,13.328036212921143,,3.6278100323018942,0.4536134626244405,13.293152809143066,13.374937057495115,0.19523906707763672
